OBJECTID,GEOID,CIscore,HazScore,HealthScore,SVscore,CCVscore,Shape__Area,Shape__Length
1,6037920336,10,3,1,4,2,2438559.777,8124.373091
2,6037920044,4,1,1,1,1,1470811.184,5545.298452
3,6037573003,13,5,3,3,2,652816.7969,3310.743793
4,6037571704,13,3,2,4,4,699401.1055,4113.477175
5,6037570403,17,5,3,5,4,831783.8945,3887.000394
6,6037553503,15,3,4,4,4,617211.9961,3495.393508
7,6037552302,14,4,2,3,5,1390240.398,5528.303453
8,6037503104,10,1,3,4,2,796205.6289,4021.429991
9,6037550602,11,3,4,2,2,2158706.352,6127.085861
10,6037550601,17,5,5,3,4,1708499.082,5362.291643
11,6037550202,15,4,4,3,4,1843022.32,6142.426909
12,6037550201,14,4,4,4,2,828455.5508,4717.914256
13,6037544002,12,4,4,2,2,1665108.32,5464.320576
14,6037544001,11,4,2,3,2,3321481.5,7654.751409
15,6037543905,13,5,2,5,1,3991429.828,8906.914394
16,6037139504,14,3,3,3,5,425677.2461,2990.052947
17,6037139503,13,2,3,3,5,514346.1523,2989.995262
18,6037139401,15,4,3,3,5,1326637.137,4692.981141
19,6037137103,16,5,5,2,4,1116335.281,4332.175421
20,6037134905,11,3,3,2,3,3781808.969,8123.251894
21,6037134522,14,5,1,4,4,901787.6406,3792.035478
22,6037301206,11,2,2,3,4,1203668.352,4926.232732
23,6037301205,6,1,2,2,1,1134011.477,4711.881734
24,6037300301,7,3,1,1,2,9058500.758,15439.91252
25,6037501002,12,3,5,2,2,2139466,6116.668081
26,6037501001,10,3,3,3,1,1286366.707,4724.131147
27,6037500404,13,3,5,3,2,1740164.691,5384.538923
28,6037481606,16,4,4,4,4,1258140.781,5460.244657
29,6037500403,13,2,5,3,3,3277205.262,10856.55626
30,6037433101,17,4,5,4,4,2281179.684,9439.262871
31,6037911001,9,1,2,2,4,552099515.5,130939.7819
32,6037910813,6,1,1,1,3,121867232.4,61638.28357
33,6037910716,10,2,1,3,4,3660757.176,9140.480855
34,6037910715,12,3,1,3,5,2922800.52,7945.786528
35,6037910714,9,1,1,4,3,1492273.992,4992.651477
36,6037910711,11,1,1,5,4,5340709.996,10802.19663
37,6037910606,10,1,1,4,4,2013837.199,6015.301076
38,6037910605,10,1,1,4,4,1997102.246,5979.569964
39,6037135114,14,2,3,4,5,1859771.871,6704.694739
40,6037135113,12,1,4,3,4,935384.5938,4813.931944
41,6037134903,11,2,3,3,3,827371.0625,3859.13657
42,6037134521,15,5,1,5,4,515814.5508,3022.731244
43,6037131701,13,4,1,4,4,966777.3906,3933.239541
44,6037128801,12,3,3,2,4,723414.5859,3487.208551
45,6037127712,12,2,3,3,4,829288.5781,3619.661816
46,6037127606,15,3,4,4,4,801815.2422,3595.761983
47,6037127604,17,4,3,5,5,637977.5039,3643.248329
48,6037124903,13,2,4,2,5,453364.7148,2878.425651
49,6037124204,15,5,4,3,3,474811.5156,2921.242944
50,6037124203,15,4,3,4,4,475305.207,2922.022751
51,6037124105,16,5,3,4,4,475396.8555,2922.889351
52,6037124103,16,5,3,4,4,474531.4648,2920.463282
53,6037122121,12,4,3,3,2,603970.3711,4426.437648
54,6037121222,17,5,4,4,4,1969441.074,6732.063051
